ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,Pagado,DEVOLUCIÓN,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa,cl
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
FUTURA,50,"150,5",7525,,28/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4409,59","141,98","150,5","142,23","7111,5",Gaudia
05/Nov/25,50,"123,01","6150,5",2025-215.pdf,12/09/2025,50,0,11-5,Finalizado,TRUE,FALSE,"3609,24","116,04","123,01","116,29","5814,5",Gemma
05/Nov/25,50,"137,22",6861,2026-19.pdf,20/01/2026,50,0,11-5,Finalizado,TRUE,FALSE,"4026,06","129,45","137,22","129,7",6485,Gemma
05/Nov/25,50,"140,59","7029,5",2026-20.pdf,22/01/2026,50,0,11-5,Finalizado,TRUE,FALSE,"4125,2","132,63","140,59","132,88",6644,Gemma
