Linea,Paquete,Peso Bruto _ CL,Ley_CL,kts,Fino,P.V,no cuenta Peso,fino_CL,bruto_peso,fino*pv,Exp,Cliente
E39_1_710,E39_1,229.70,710.00,,163.09,,,163.09,229.70,0,"'
- Una linea de 163.09 grs. de fino: 229.7 grs de bruto x ley  (710/1000)",Nova Joia
E39_1_540,E39_1,1.55,540.00,,0.84,,,0.84,1.55,0,"'
- Una linea de 0.84 grs. de fino: 1.55 grs de bruto x ley  (540/1000)",Nova Joia
E39_1_335,E39_1,3.34,335.00,,1.12,,,1.12,3.34,0,"'
- Una linea de 1.12 grs. de fino: 3.34 grs de bruto x ley  (335/1000)",Nova Joia
E39_2_708,E39_2,1012.00,708.00,,716.50,,,716.50,1012.00,0,"'
- Una linea de 716.5 grs. de fino: 1012 grs de bruto x ley  (708/1000)",OrCash
E39_3_710,E39_3,58.45,710.00,,41.50,,,41.50,58.45,0,"'
- Una linea de 41.5 grs. de fino: 58.45 grs de bruto x ley  (710/1000)",Nova Joia
E39_3_900,E39_3,399.81,900.00,,359.83,,,359.83,399.81,0,"'
- Una linea de 359.83 grs. de fino: 399.81 grs de bruto x ley  (900/1000)",Nova Joia
E39_4_708,E39_4,235.50,708.00,,166.73,,,166.73,235.50,0,"'
- Una linea de 166.73 grs. de fino: 235.5 grs de bruto x ley  (708/1000)",Gaudia
E39_5_720,E39_5,40.10,720.00,,28.87,,,28.87,40.10,0,"'
- Una linea de 28.87 grs. de fino: 40.1 grs de bruto x ley  (720/1000)",Gemma d'Or
E39_5_740,E39_5,137.10,740.00,,101.45,,,101.45,137.10,0,"'
- Una linea de 101.45 grs. de fino: 137.1 grs de bruto x ley  (740/1000)",Gemma d'Or
E39_6_740,E39_6,16.62,740.00,,12.30,,,12.30,16.62,0,"'
- Una linea de 12.3 grs. de fino: 16.62 grs de bruto x ley  (740/1000)",Nova Joia
E39_6_710,E39_6,293.81,710.00,,208.61,,,208.61,293.81,0,"'
- Una linea de 208.61 grs. de fino: 293.81 grs de bruto x ley  (710/1000)",Nova Joia
E39_7_710,E39_7,71.52,710.00,,50.78,,,50.78,71.52,0,"'
- Una linea de 50.78 grs. de fino: 71.52 grs de bruto x ley  (710/1000)",Nova Joia
E39_7_900,E39_7,64.49,900.00,,58.04,,,58.04,64.49,0,"'
- Una linea de 58.04 grs. de fino: 64.49 grs de bruto x ley  (900/1000)",Nova Joia
E39_8_999.9,E39_8,250.00,999.90,,249.98,,,249.98,250.00,0,"'
- Una linea de 249.98 grs. de fino: 250 grs de bruto x ley  (999.9/1000)",Nova Joia
E39_9_710,E39_9,109.27,710.00,,77.58,,,77.58,109.27,0,"'
- Una linea de 77.58 grs. de fino: 109.27 grs de bruto x ley  (710/1000)",Nova Joia
E39_9_540,E39_9,7.15,540.00,,3.86,,,3.86,7.15,0,"'
- Una linea de 3.86 grs. de fino: 7.15 grs de bruto x ley  (540/1000)",Nova Joia
E39_9_710,E39_9,37.00,710.00,,26.27,,,26.27,37.00,0,"'
- Una linea de 26.27 grs. de fino: 37 grs de bruto x ley  (710/1000)",Nova Joia
E39_10_725,E39_10,59.90,725.00,,43.43,,,43.43,59.90,0,"'
- Una linea de 43.43 grs. de fino: 59.9 grs de bruto x ley  (725/1000)",Alquimia
E39_10_900,E39_10,6.45,900.00,,5.81,,,5.81,6.45,0,"'
- Una linea de 5.81 grs. de fino: 6.45 grs de bruto x ley  (900/1000)",Alquimia
E39_11_710,E39_11,143.64,710.00,,101.98,,,101.98,143.64,0,"'
- Una linea de 101.98 grs. de fino: 143.64 grs de bruto x ley  (710/1000)",Nova Joia
E39_11_917,E39_11,67.91,917.00,,62.27,,,62.27,67.91,0,"'
- Una linea de 62.27 grs. de fino: 67.91 grs de bruto x ley  (917/1000)",Nova Joia
E39_12_999,E39_12,25.74,999.00,,25.71,,,25.71,25.74,0,"'
- Una linea de 25.71 grs. de fino: 25.74 grs de bruto x ley  (999/1000)",La Milla d'Or
E39_12_896,E39_12,10.58,896.00,,9.48,,,9.48,10.58,0,"'
- Una linea de 9.48 grs. de fino: 10.58 grs de bruto x ley  (896/1000)",La Milla d'Or
E39_12_780,E39_12,57.85,780.00,,45.12,,,45.12,57.85,0,"'
- Una linea de 45.12 grs. de fino: 57.85 grs de bruto x ley  (780/1000)",La Milla d'Or
E39_12_730,E39_12,508.92,730.00,,371.51,,,371.51,508.92,0,"'
- Una linea de 371.51 grs. de fino: 508.92 grs de bruto x ley  (730/1000)",La Milla d'Or
E39_12_646,E39_12,11.69,646.00,,7.55,,,7.55,11.69,0,"'
- Una linea de 7.55 grs. de fino: 11.69 grs de bruto x ley  (646/1000)",La Milla d'Or
E39_12_565,E39_12,52.19,565.00,,29.49,,,29.49,52.19,0,"'
- Una linea de 29.49 grs. de fino: 52.19 grs de bruto x ley  (565/1000)",La Milla d'Or
E39_12_355,E39_12,3.74,355.00,,1.33,,,1.33,3.74,0,"'
- Una linea de 1.33 grs. de fino: 3.74 grs de bruto x ley  (355/1000)",La Milla d'Or
E40_1_999.9,E40_1,175.00,999.90,,174.98,,,174.98,175.00,0,"'
- Una linea de 174.98 grs. de fino: 175 grs de bruto x ley  (999.9/1000)",Gemma d'Or
E40_2_710,E40_2,150.80,710.00,,107.07,,,107.07,150.80,0,"'
- Una linea de 107.07 grs. de fino: 150.8 grs de bruto x ley  (710/1000)",Gemma d'Or
E40_3_710,E40_3,224.60,710.00,,159.47,,,159.47,224.60,0,"'
- Una linea de 159.47 grs. de fino: 224.6 grs de bruto x ley  (710/1000)",Nova Joia
E40_3_540,E40_3,122.97,540.00,,66.40,,,66.40,122.97,0,"'
- Una linea de 66.4 grs. de fino: 122.97 grs de bruto x ley  (540/1000)",Nova Joia
E40_3_335,E40_3,11.82,335.00,,3.96,,,3.96,11.82,0,"'
- Una linea de 3.96 grs. de fino: 11.82 grs de bruto x ley  (335/1000)",Nova Joia
E40_4_710,E40_4,239.41,710.00,,169.98,,,169.98,239.41,0,"'
- Una linea de 169.98 grs. de fino: 239.41 grs de bruto x ley  (710/1000)",Nova Joia
E40_4_900,E40_4,19.36,900.00,,17.42,,,17.42,19.36,0,"'
- Una linea de 17.42 grs. de fino: 19.36 grs de bruto x ley  (900/1000)",Nova Joia
E40_4_999.9,E40_4,7.91,999.90,,7.91,,,7.91,7.91,0,"'
- Una linea de 7.91 grs. de fino: 7.91 grs de bruto x ley  (999.9/1000)",Nova Joia
E40_4_625,E40_4,6.27,625.00,,3.92,,,3.92,6.27,0,"'
- Una linea de 3.92 grs. de fino: 6.27 grs de bruto x ley  (625/1000)",Nova Joia
E40_4_916,E40_4,67.88,916.00,,62.18,,,62.18,67.88,0,"'
- Una linea de 62.18 grs. de fino: 67.88 grs de bruto x ley  (916/1000)",Nova Joia
