,ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,pagado,DEVOLUCIÓN,FILTER,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa,MGN
NJ,14/Oct/24,50,"85,84",4292,2024-115.pdf,11/04/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2518,7","80,98","85,84","81,23","4061,5","230,5"
NJ,14/Oct/24,50,"85,21","4260,5",2024-116.pdf,11/08/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2500,08","80,38","85,21","80,63","4031,5",229
NJ,14/Oct/24,50,"85,11","4255,5",2024-117.pdf,11/11/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2497,16","80,29","85,11","80,54",4027,"228,5"
NJ,14/Oct/24,50,"83,58",4179,2024-118.pdf,11/12/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2452,1","78,84","83,58","79,09","3954,5","224,5"
NJ,06/Nov/24,50,"85,41","4270,5",2024-127.pdf,12/09/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2505,74","80,57","85,41","80,82",4041,"229,5"
NJ,06/Nov/24,50,"85,93","4296,5",2024-129.pdf,17/12/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2521,08","81,06","85,93","81,31","4065,5",231
NJ,06/Nov/24,50,"85,93","4296,5",2024-129.pdf,17/12/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2521,08","81,06","85,93","81,31","4065,5",231
NJ,06/Nov/24,50,"85,94",4297,2024-133.pdf,18/12/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2518,53","80,98","85,84","81,23","4061,5","235,5"
NJ,06/Nov/24,50,"85,94",4297,2024-133.pdf,18/12/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2518,53","80,98","85,84","81,23","4061,5","235,5"
NJ,06/Nov/24,50,"86,11","4305,5",2024-134.pdf,23/12/2024,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2526,43","81,23","86,11","81,48",4074,"231,5"
NJ,12/dic/24,50,"93,93","4696,5",2025-11.pdf,2/05/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2755,92","88,61","93,93","88,86",4443,"253,5"
NJ,12/dic/24,50,94,4700,2025-18.pdf,27/02/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2757,71","88,67",94,"88,92",4446,254
NJ,12/dic/24,50,"92,22",4611,2025-23.pdf,3/05/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2705,72",87,"92,22","87,25","4362,5","248,5"
NJ,14/ene/2025,50,"91,03","4551,5",2025-27.pdf,3/11/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2670,63","85,87","91,03","86,12",4306,"245,5"
NJ,14/ene/2025,50,"91,03","4551,5",2025-31.pdf,3/11/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2670,63","85,87","91,03","86,12",4306,"245,5"
NJ,14/ene/2025,50,"91,03","4551,5",2025-31.pdf,3/11/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2670,63","85,87","91,03","86,12",4306,"245,5"
NJ,14/ene/2025,50,"91,03","4551,5",2025-32.pdf,3/11/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2670,63","85,87","91,03","86,12",4306,"245,5"
NJ,14/ene/2025,50,"91,03","4551,5",2025-32.pdf,3/11/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2670,63","85,87","91,03","86,12",4306,"245,5"
NJ,12/Mar/25,50,"91,03","4551,5",2025-33.pdf,3/11/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2670,63","85,87","91,03","86,12",4306,"245,5"
NJ,12/Mar/25,50,"91,03","4551,5",2025-33.pdf,3/11/2025,50,0,26-9,Finalizado,TRUE,FALSE,TRUE,"2670,63","85,87","91,03","86,12",4306,"245,5"
