ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,Pagado,DEVOLUCIÓN,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa
FUTURA,50,"136,63","6831,5",2026-16.pdf,19/01/2026,50,0,FUTURA,En curso,TRUE,FALSE,"4008,92","128,89","136,63","129,14",6457
FUTURA,50,"136,63","6831,5",2026-17.pdf,19/01/2026,50,0,FUTURA,En curso,TRUE,FALSE,"4008,92","128,89","136,63","129,14",6457
FUTURA,50,"136,63","6831,5",2026-18.pdf,19/01/2026,50,0,FUTURA,En curso,TRUE,FALSE,"4008,92","128,89","136,63","129,14",6457
FUTURA,50,"152,51","7625,5",@2026-24,29/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4474,78","143,87","152,51","144,12",7206
FUTURA,50,"145,38",7269,,30/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4243,36","137,15","145,38","136,68",6834
FUTURA,50,"145,38",7269,,30/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4243,36","137,15","145,38","136,68",6834
FUTURA,50,"145,38",7269,,30/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4243,36","137,15","145,38","136,68",6834
FUTURA,50,"145,38",7269,,30/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4243,36","137,15","145,38","136,68",6834
FUTURA,50,"145,38",7269,,30/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4243,36","137,15","145,38","136,68",6834
FUTURA,50,"145,38",7269,,30/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4243,36","137,15","145,38","136,68",6834
FUTURA,50,"145,38",7269,,30/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4243,36","137,15","145,38","136,68",6834
FUTURA,50,"145,38",7269,,30/01/2026,50,0,FUTURA,En Curso,FALSE,FALSE,"4243,36","137,15","145,38","136,68",6834
