Paquete,Cliente,Tipo genero,Nº Paquete,bruto,Total Fra,Fixing,Dto.,Fino Fra,Igi,Fino x Precio,Base,fino_factura,Expedición,P.V. Jof Cierre,Fra a Jofisa,Margen
E45_1,Racó d'Or,Lingote Chatarra,1,307.44,€19075.77,€87.54,4.20%,217.67,4.50%,€19054.61,€18254.32,217.67,E45,€87.29,€19000.20,745.9
E46_1,Nova Joia,Chatarra,1,137.45,€8903.99,€93.38,6.50%,97.59,4.50%,€9112.91,€8520.57,97.59,E46,€93.13,€9088.51,567.9
E39_2,OrCash,"Lingote Chatarra,Chatarra",2,1012.00,€50004.49,€70.30,5.00%,716.50,4.50%,€50369.67,€47851.19,716.50,E39,€70.05,€50190.54,2339.4
E40_2,Gemma d'Or,Lingote Chatarra,2,150.80,€7319.80,€69.97,6.50%,107.07,4.50%,€7491.55,€7004.60,107.07,E40,€69.72,€7464.78,460.2
E41_2,Nova Joia,Chatarra,2,250.91,€12358.31,€71.80,6.50%,176.16,4.50%,€12648.27,€11826.14,176.16,E41,€71.55,€12604.23,778.1
E42_2,Racó d'Or,Lingote Chatarra,2,118.89,€6167.19,€74.35,5.70%,84.17,4.50%,€6258.35,€5901.62,84.17,E42,€74.10,€6237.30,335.7
E43_2,Racó d'Or,Lingote Chatarra,2,144.53,€8605.19,€81.47,4.20%,105.51,4.50%,€8595.65,€8234.63,105.51,E43,€81.22,€8569.27,334.6
E44_2,La Milla d'Or,Chatarra,2,268.45,€14080.56,€81.04,6.50%,187.82,4.50%,€14410.93,€13474.22,177.82,E44,€80.79,€15174.37,1700.2
E45_2,OrCash,Lingote Chatarra,2,292.00,€18157.02,€85.92,5.00%,212.87,4.50%,€18289.62,€17375.14,212.87,E45,€85.67,€18236.40,861.3
E46_2,Racó d'Or,Lingote Chatarra,2,237.08,€16157.00,€96.96,5.00%,167.85,4.50%,€16274.99,€15461.24,167.85,E46,,€15610.30,149.1
E39_3,Nova Joia,Chatarra,3,458.26,€27652.87,€70.52,6.50%,401.33,4.50%,€28301.69,€26462.08,401.33,E39,€70.27,€28201.35,1739.3
E40_3,Nova Joia,Chatarra,3,359.39,€15568.79,€69.33,6.50%,229.83,4.50%,€15934.08,€14898.36,229.83,E40,€69.08,€15876.62,978.3
E41_3,Gemma d'Or,Lingote Chatarra,3,219.50,€11558.75,€71.86,6.50%,164.63,4.50%,€11829.95,€11061.01,164.63,E41,€71.61,€11788.80,727.8
E42_3,Nova Joia,Chatarra,3,202.03,€10476.43,€74.75,6.50%,143.44,4.50%,€10722.24,€10025.29,143.44,E42,€74.50,€10686.38,661.1
E43_3,Nova Joia,Chatarra,3,336.69,€19321.17,€83.37,6.50%,237.19,4.50%,€19774.50,€18489.15,237.19,E43,€83.12,€19715.20,1226.0
E44_3,OrCash,Lingote Chatarra,3,453.23,€26829.39,€80.47,5.00%,335.84,4.50%,€27025.32,€25674.05,335.84,E44,€80.22,€26941.36,1267.3
E45_3,La Milla d'Or,Chatarra,3,561.95,€34993.01,€87.09,6.50%,411.23,4.50%,€35814.04,€33486.13,411.23,E45,€86.84,€35711.23,2225.1
E46_3,Gemma d'Or,Lingote Chatarra,3,234.83,€16725.45,€96.57,6.50%,177.26,4.50%,€17117.88,€16005.22,177.26,E46,,€16485.07,479.8
E39_4,Gaudia,Lingote Chatarra,4,235.50,€11858.22,€71.64,5.00%,166.73,4.50%,€11944.82,€11347.58,166.73,E39,€71.39,€11903.14,555.6
E40_4,Nova Joia,Chatarra,4,408.69,€22146.52,€70.05,6.50%,323.57,4.50%,€22666.14,€21192.84,323.57,E40,€69.80,€22585.25,1392.4
E41_4,OrCash,Lingote Chatarra,4,406.91,€20789.53,€72.18,5.00%,290.13,4.50%,€20941.35,€19894.29,290.13,E41,€71.93,€20868.82,974.5
E42_4,Gemma d'Or,Lingote Chatarra,4,180.15,€9745.54,€74.88,6.50%,133.20,4.50%,€9974.20,€9325.88,133.20,E42,€74.63,€9940.90,615.0
E43_4,OrCash,Lingote Chatarra,4,503.05,€30163.81,€83.31,5.00%,364.71,4.50%,€30384.09,€28864.89,364.71,E43,€83.06,€30292.92,1428.0
E44_4,Gemma d'Or,Lingote Chatarra,4,299.60,€17428.89,€81.56,6.50%,218.71,4.50%,€17837.82,€16678.37,218.71,E44,€81.31,€17783.15,1104.8
E45_4,Nova Joia,Chatarra,4,597.34,€37170.66,€89.70,6.50%,424.11,4.50%,€38042.79,€35570.01,424.11,E45,€89.45,€37936.76,2366.8
E46_4,La Milla d'Or,Chatarra,4,437.59,€27941.16,€92.83,6.50%,316.05,4.50%,€28596.74,€26737.95,308.05,E46,,€29393.11,2655.2
E39_5,Gemma d'Or,Lingote Chatarra,5,177.20,€8867.84,€69.64,6.50%,130.33,4.50%,€9075.90,€8485.97,130.33,E39,€69.39,€9043.32,557.4
E40_5,Gaudia,Lingote Chatarra,5,272.50,€13455.07,€70.25,5.00%,192.93,4.50%,€13553.33,€12875.67,192.93,E40,€70.00,€13505.10,629.4
E41_5,Gaudia,Lingote Chatarra,5,103.00,€5232.06,€72.73,5.60%,72.92,4.50%,€5303.76,€5006.75,72.92,E41,€72.48,€5285.53,278.8
E42_5,Nova Joia,Chatarra,5,333.46,€20537.54,€75.84,6.50%,277.15,4.50%,€21019.41,€19653.15,277.15,E42,€75.59,€20950.12,1297.0
E43_5,OrCash,Lingote fino,5,298.56,€22815.36,€80.44,5.00%,298.56,,€24016.17,€22815.36,298.56,E43,€80.19,€23941.53,1126.2
E44_5,Gemma d'Or,Lingote Chatarra,5,302.64,€18253.33,€84.56,6.50%,220.93,4.50%,€18681.60,€17467.30,220.93,E44,€84.31,€18626.37,1159.1
E45_5,Nova Joia,Chatarra,5,356.21,€22417.77,€90.05,6.50%,254.79,4.50%,€22943.76,€21452.41,254.79,E45,€89.80,€22880.06,1427.6
E46_5,Nova Joia,Chatarra,5,120.12,€8033.69,€96.05,6.50%,85.60,4.50%,€8222.19,€7687.75,85.60,E46,€95.80,€8200.79,513.0
E39_6,Nova Joia,Chatarra,6,310.43,€14966.32,€69.34,6.50%,220.90,4.50%,€15317.48,€14321.84,220.90,E39,€69.09,€15262.25,940.4
E40_6,Gemma d'Or,Lingote fino,6,400.00,€26441.44,€70.33,6.00%,399.96,,€28129.19,€26441.44,399.96,E40,,€27997.20,1555.8
E41_6,Nova Joia,Chatarra,6,247.04,€12470.80,€72.45,6.50%,176.17,4.50%,€12763.40,€11933.78,176.17,E41,€72.20,€12719.36,785.6
E43_6,Racó d'Or,Lingote Chatarra,6,285.67,€16145.36,€80.41,5.00%,202.25,4.50%,€16263.27,€15450.11,202.25,E43,€80.16,€16212.71,762.6
E44_6,Nova Joia,Chatarra,6,661.03,€38097.01,€83.91,6.50%,464.67,4.50%,€38990.87,€36456.46,464.67,E44,€83.66,€38874.70,2418.2
E45_6,Gemma d'Or,Lingote Chatarra,6,152.60,€10090.08,€90.23,6.50%,114.45,4.50%,€10326.82,€9655.58,114.45,E45,€89.98,€10298.21,642.6
E46_6,Nova Joia,Chatarra,6,256.24,€16927.19,€95.80,6.50%,180.84,4.50%,€17324.35,€16198.26,180.84,E46,€95.55,€17279.14,1080.9
E42_6.1,Racó d'Or,Lingote Chatarra,6.1,95.97,€5032.29,€75.80,6.50%,67.95,4.50%,€5150.36,€4815.59,67.95,E42,€75.55,€5133.38,317.8
E42_6.2,Racó d'Or,plancha oro fino 999.9,6.2,41.77,€2957.40,€75.80,6.50%,41.73,,€3163.00,€2957.40,41.73,E42,,€3338.26,380.9
E39_7,Nova Joia,Chatarra,7,136.01,€7336.46,€69.00,6.50%,108.82,4.50%,€7508.59,€7020.54,108.82,E39,€68.75,€7481.39,460.9
E40_7,OrCash,Lingote Chatarra,7,516.00,€25409.32,€70.06,5.00%,365.33,4.50%,€25594.88,€24315.14,365.33,E40,,€25572.96,1257.8
E41_7,Alquimia,Lingote Chatarra,7,98.00,€4895.64,€70.90,7.00%,71.05,4.50%,€5037.45,€4684.82,71.05,E41,€70.69,€5022.52,337.7
