Paquete,Cliente,Tipo genero,Nº Paquete,bruto,Total Fra,Fixing,Dto.,Fino Fra,Igi,Fino x Precio,Base,fino_factura,Expedición,P.V. Jof Cierre,Fra a Jofisa,Margen
E48_12,Gaudia,Lingote Chatarra,12,2693.76,€194757.16,€92.07,5.00%,2130.76,4.50%,€196179.46,€186370.48,2130.76,E48,€91.87,€195753.30,9382.8
E48_13,Nova Joia,Chatarra,13,520.13,€34462.16,€95.46,6.50%,369.48,4.50%,€35270.74,€32978.14,369.48,E48,€95.21,€35178.37,2200.2
E49_1,Gaudia,Lingote Chatarra,1,309.65,€20125.43,€92.47,5.00%,219.23,4.50%,€20272.40,€19258.78,219.23,E49,€92.22,€20217.59,958.8
E49_2,OrCash,Lingote Chatarra,2,209.15,€12116.55,€93.13,5.00%,131.05,4.50%,€12205.04,€11594.79,131.05,E49,€92.88,€12172.27,577.5
E49_3,Gaudia,Lingote Chatarra,3,414.78,€30821.66,€94.72,5.00%,327.77,4.50%,€31046.75,€29494.41,327.77,E49,€94.47,€30964.81,1470.4
E49_4,Gaudia,Lingote Chatarra,4,256.44,€21266.73,€95.47,5.00%,224.39,4.50%,€21422.04,€20350.93,224.39,E49,€95.22,€21365.94,1015.0
E49_5,La Milla d'Or,Chatarra,5,392.84,€26893.39,€96.18,6.50%,286.18,4.50%,€27524.38,€25735.30,286.18,E49,€95.93,€27452.84,1717.5
E49_6,Nova Joia,Chatarra,6,412.80,€27229.40,€96.15,6.50%,289.84,4.50%,€27868.28,€26056.84,289.84,E49,€95.90,€27795.82,1739.0
E49_7,Gemma d'Or,Lingote Chatarra,7,194.75,€13782.60,€97.88,6.50%,144.12,4.50%,€14105.98,€13189.09,144.12,E49,€97.63,€14069.95,880.9
E49_8,OrCash,Lingote Chatarra,8,436.23,€32199.33,€99.69,5.00%,325.35,4.50%,€32434.48,€30812.76,325.35,E49,€99.44,€32353.14,1540.4
E49_9,Gaudia,Lingote Chatarra,9,312.80,€22023.06,€100.17,5.00%,221.46,4.50%,€22183.89,€21074.69,221.46,E49,€99.92,€22128.52,1053.8
E49_10,La Milla d'Or,Chatarra,10,620.04,€43667.46,€99.82,6.50%,451.23,4.50%,€44692.02,€41787.04,447.73,E49,€99.57,€44928.58,3141.5
E49_11,Gaudia,Lingote fino,11,1000.00,€99235.29,€99.96,5.00%,1000.00,4.50%,€99960.00,€94962.00,1000.00,E49,€99.71,€99710.00,4748.0
E49_12,Gaudia,Lingote Chatarra,12,301.18,€21287.49,€100.56,5.00%,213.24,4.50%,€21442.96,€20370.81,213.24,E49,€100.31,€21389.65,1018.8
E49_13,Nova Joia,Chatarra,13,551.01,€41033.51,€108.59,6.50%,386.74,4.50%,€41996.27,€39266.51,386.74,E49,€108.39,€41918.92,2652.4
E49_14,Gaudia,Lingote Chatarra,14,269.34,€18855.30,€99.60,5.00%,190.69,4.50%,€18992.99,€18043.35,190.69,E49,€99.35,€18945.32,902.0
E49_15,Alquimia,Lingote Chatarra,15,192.17,€13822.64,€99.78,6.50%,141.78,4.50%,€14146.96,€13227.40,141.78,E49,€99.53,€14111.51,884.1
E49_16,La Milla d'Or,Chatarra,16,411.34,€29640.16,€101.77,6.50%,298.08,4.50%,€30335.60,€28363.79,298.08,E49,€101.52,€30261.08,1897.3
E49_17,Gaudia,Lingote Chatarra,17,252.76,€19363.45,€102.89,5.00%,189.57,4.50%,€19504.86,€18529.61,189.57,E49,€102.64,€19457.46,927.9
E49_18,OrCash,Lingote Chatarra,18,544.45,€40676.96,€103.21,5.00%,397.00,4.50%,€40974.02,€38925.32,397.00,E49,€102.96,€40874.77,1949.5
